street_name,LOCATION,weighted_count
   3RD                          AV,3900    3RD                          AV,14.0
   3RD                          AV,4000    3RD                          AV,0.0
   3RD                          AV,4100    3RD                          AV,10.5
   3RD                          AV,4200    3RD                          AV,2.625
   3RD                          AV,4300    3RD                          AV,5.25
   3RD                          AV,4400    3RD                          AV,0.0
   3RD                          AV,4500    3RD                          AV,2.625
   3RD                          AV,4600    3RD                          AV,5.25
   3RD                          AV,4800    3RD                          AV,5.25
   3RD                          AV,4900    3RD                          AV,2.625
   3RD                          AV,5000    3RD                          AV,0.0
   3RD                          AV,5100    3RD                          AV,5.25
   3RD                          AV,5300    3RD                          AV,10.5
   3RD                          AV,5400    3RD                          AV,5.25
   3RD                          AV,5700    3RD                          AV,2.625
   3RD                          AV,5800    3RD                          AV,0.0
   3RD                          AV,5900    3RD                          AV,9.625
   3RD                          AV,6000    3RD                          AV,0.0
   3RD                          AV,6200    3RD                          AV,7.875
   3RD                          AV,6500    3RD                          AV,3.5
   3RD                          AV,6700    3RD                          AV,10.5
   3RD                          AV,7000    3RD                          AV,5.25
   3RD                          AV,800    3RD                          AV,9.625
   3RD                          AV,900    3RD                          AV,21.875
   3RD                          ST,1400    3RD                          ST,0.0
   4TH                          AV,1000    4TH                          AV,28.875
   4TH                          AV,1100    4TH                          AV,13.125
   4TH                          AV,1200    4TH                          AV,2.625
   4TH                          AV,1300    4TH                          AV,7.875
   4TH                          AV,1400    4TH                          AV,2.625
   4TH                          AV,1500    4TH                          AV,32.375
   4TH                          AV,1600    4TH                          AV,0.0
   4TH                          AV,1700    4TH                          AV,2.625
   4TH                          AV,1800    4TH                          AV,5.25
   4TH                          AV,1900    4TH                          AV,5.25
   4TH                          AV,2000    4TH                          AV,5.25
   4TH                          AV,2100    4TH                          AV,0.0
   4TH                          AV,2200    4TH                          AV,0.0
   4TH                          AV,2400    4TH                          AV,0.0
   4TH                          AV,2500    4TH                          AV,2.625
   4TH                          AV,2800    4TH                          AV,5.25
   4TH                          AV,2900    4TH                          AV,0.0
   4TH                          AV,3000    4TH                          AV,0.0
   4TH                          AV,3400    4TH                          AV,0.0
   4TH                          AV,3500    4TH                          AV,10.5
   4TH                          AV,3600    4TH                          AV,2.625
   4TH                          AV,4100    4TH                          AV,26.25
   4TH                          AV,4200    4TH                          AV,2.625
   4TH                          AV,4300    4TH                          AV,2.625
   4TH                          AV,4400    4TH                          AV,0.0
   4TH                          AV,4500    4TH                          AV,0.0
   4TH                          AV,4600    4TH                          AV,2.625
   4TH                          AV,4700    4TH                          AV,10.5
   4TH                          AV,4800    4TH                          AV,0.0
   4TH                          AV,4900    4TH                          AV,2.625
   4TH                          AV,5000    4TH                          AV,0.0
   4TH                          AV,5100    4TH                          AV,2.625
   4TH                          AV,5300    4TH                          AV,5.25
   4TH                          AV,5400    4TH                          AV,0.0
   4TH                          AV,5700    4TH                          AV,0.0
   4TH                          AV,5800    4TH                          AV,0.0
   4TH                          AV,5900    4TH                          AV,0.0
   4TH                          AV,6000    4TH                          AV,2.625
   4TH                          AV,6200    4TH                          AV,0.0
   4TH                          AV,6500    4TH                          AV,14.875
   4TH                          AV,6600    4TH                          AV,0.0
   4TH                          AV,6700    4TH                          AV,5.25
   4TH                          AV,7000    4TH                          AV,13.125
   4TH                          AV,900    4TH                          AV,29.75
   5TH                          AV,1000    5TH                          AV,28.875
   5TH                          AV,1100    5TH                          AV,7.0
   5TH                          AV,1200    5TH                          AV,8.75
   5TH                          AV,1300    5TH                          AV,3.5
   5TH                          AV,1400    5TH                          AV,0.0
   5TH                          AV,1500    5TH                          AV,7.875
   5TH                          AV,1600    5TH                          AV,3.5
   5TH                          AV,1700    5TH                          AV,13.125
   5TH                          AV,1900    5TH                          AV,0.0
   5TH                          AV,2100    5TH                          AV,0.0
   5TH                          AV,2200    5TH                          AV,3.5
   5TH                          AV,2300    5TH                          AV,0.0
   5TH                          AV,2500    5TH                          AV,0.0
   5TH                          AV,2700    5TH                          AV,0.0
   5TH                          AV,2800    5TH                          AV,0.0
   5TH                          AV,2900    5TH                          AV,0.0
   5TH                          AV,3000    5TH                          AV,2.625
   5TH                          AV,3100    5TH                          AV,0.0
   5TH                          AV,3400    5TH                          AV,0.0
   5TH                          AV,3500    5TH                          AV,0.0
   5TH                          AV,3600    5TH                          AV,5.25
   5TH                          AV,4100    5TH                          AV,7.875
   5TH                          AV,4200    5TH                          AV,0.0
   5TH                          AV,4300    5TH                          AV,2.625
   5TH                          AV,4400    5TH                          AV,2.625
   5TH                          AV,4500    5TH                          AV,0.0
   5TH                          AV,4600    5TH                          AV,2.625
   5TH                          AV,4700    5TH                          AV,0.0
   5TH                          AV,4800    5TH                          AV,2.625
   5TH                          AV,4900    5TH                          AV,0.0
   5TH                          AV,5000    5TH                          AV,2.625
   5TH                          AV,5100    5TH                          AV,2.625
   5TH                          AV,5300    5TH                          AV,0.0
   5TH                          AV,5400    5TH                          AV,10.5
   5TH                          AV,5700    5TH                          AV,2.625
   5TH                          AV,5900    5TH                          AV,7.875
   5TH                          AV,6000    5TH                          AV,13.125
   5TH                          AV,6200    5TH                          AV,2.625
   5TH                          AV,6300    5TH                          AV,0.0
   5TH                          AV,6500    5TH                          AV,7.875
   5TH                          AV,6600    5TH                          AV,7.875
   5TH                          AV,6700    5TH                          AV,7.875
   5TH                          AV,7000    5TH                          AV,0.0
   5TH                          AV,800    5TH                          AV,47.25
   5TH                          AV,900    5TH                          AV,5.25
   6TH                          AV,1300    6TH                          AV,6.125
   6TH                          AV,1400    6TH                          AV,2.625
   6TH                          AV,1500    6TH                          AV,9.625
   6TH                          AV,1600    6TH                          AV,7.875
   6TH                          AV,1700    6TH                          AV,0.0
   6TH                          AV,1900    6TH                          AV,0.0
   6TH                          AV,2000    6TH                          AV,5.25
   6TH                          AV,2100    6TH                          AV,21.0
   6TH                          AV,2200    6TH                          AV,3.5
   6TH                          AV,2300    6TH                          AV,5.25
   6TH                          AV,2400    6TH                          AV,2.625
   6TH                          AV,2500    6TH                          AV,0.0
   6TH                          AV,2800    6TH                          AV,0.0
   6TH                          AV,2900    6TH                          AV,5.25
   6TH                          AV,3000    6TH                          AV,2.625
   6TH                          AV,3100    6TH                          AV,0.0
   6TH                          AV,3400    6TH                          AV,0.0
   6TH                          AV,3500    6TH                          AV,2.625
   6TH                          AV,3600    6TH                          AV,5.25
   6TH                          AV,3700    6TH                          AV,2.625
   6TH                          AV,3800    6TH                          AV,14.0
   6TH                          AV,3900    6TH                          AV,2.625
   6TH                          AV,4000    6TH                          AV,2.625
   6TH                          AV,4100    6TH                          AV,7.875
   6TH                          AV,4200    6TH                          AV,0.0
